"race","age","engnat","gender","hand","source","country","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","N1","N2","N3","N4","N5","N6","N7","N8","N9","N10","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","O1","O2","O3","O4","O5","O6","O7","O8","O9","O10"
3,23,1,1,1,2,"(nu",4,1,5,1,5,1,5,1,5,2,1,5,1,5,1,1,1,1,1,1,2,4,1,3,2,3,2,4,4,5,4,2,3,1,4,2,3,2,4,4,4,1,5,1,5,1,5,4,5,5
3,14,1,2,1,1,"(nu",4,2,2,3,4,2,5,3,5,1,3,2,5,2,3,4,4,2,4,4,4,5,3,4,2,5,1,4,5,2,2,4,4,5,1,3,1,3,2,3,4,1,5,1,4,1,5,3,5,4
3,50,1,2,1,5,"(nu",3,2,5,2,4,2,4,3,3,2,3,4,2,5,2,2,2,2,3,2,2,4,2,5,2,4,2,4,4,4,5,3,5,2,5,2,4,2,4,4,4,4,3,4,4,2,4,2,3,4
13,16,1,2,1,1,"(nu",4,2,4,2,4,3,5,2,5,3,3,4,3,2,2,2,4,3,2,2,2,4,3,4,2,4,2,4,4,3,2,5,4,3,3,3,3,3,2,4,2,2,4,3,4,1,4,2,3,4
3,17,1,2,2,1,"(nu",2,2,2,4,2,2,1,5,1,4,5,1,5,1,4,4,3,4,4,5,1,4,3,4,2,4,2,4,4,2,2,4,4,5,1,4,1,5,4,2,5,2,5,2,3,1,4,5,2,4
4,24,2,2,1,1,"(nu",3,2,3,2,4,1,3,2,4,2,5,3,4,2,3,2,4,4,4,4,2,5,2,5,2,4,1,4,5,5,3,5,5,3,1,2,4,3,1,3,4,3,5,2,5,1,5,3,5,5
1,42,1,2,1,5,"(nu",2,1,2,4,4,2,2,3,2,4,4,2,5,2,4,5,4,4,5,4,2,4,2,4,3,2,3,3,3,5,5,2,4,2,2,1,5,3,3,5,5,2,5,3,4,2,5,5,4,4
13,36,1,2,1,2,"(nu",1,2,4,1,5,2,4,4,1,2,4,3,5,2,3,4,4,4,4,3,2,5,1,4,2,5,4,4,4,3,4,1,5,2,4,2,4,3,4,4,4,4,3,3,4,4,3,4,5,3
5,19,2,2,1,1,"(nu",2,4,2,3,2,3,2,3,4,5,5,1,4,2,5,4,5,4,4,4,3,3,4,4,3,4,2,4,4,3,2,3,4,3,2,3,3,3,2,3,4,3,4,3,4,1,3,3,5,4
3,21,1,2,1,5,"(nu",3,2,3,1,4,2,3,3,4,5,4,3,4,3,3,3,4,3,4,2,3,2,4,2,4,1,4,2,2,5,4,2,5,2,4,2,4,1,4,5,5,2,4,4,4,4,5,5,4,3
3,42,1,2,1,5,"(nu",5,1,5,1,5,1,5,2,5,1,2,3,4,3,3,3,3,4,4,3,1,5,3,4,1,4,1,4,5,4,3,4,5,2,3,3,4,2,3,3,5,1,5,1,5,1,4,5,5,5
3,20,2,2,1,1,"(nu",2,4,3,2,4,1,2,2,4,5,2,4,3,3,4,1,2,2,4,3,2,4,3,4,2,2,3,3,4,4,2,4,3,2,3,2,4,3,1,2,4,1,4,2,3,1,5,4,3,3
3,17,1,2,1,1,"(nu",3,3,2,3,4,2,5,5,2,2,5,2,5,2,1,3,5,5,3,4,2,5,1,5,2,4,2,4,5,3,2,4,4,3,2,2,2,3,2,3,5,1,5,1,5,1,3,4,5,5
3,22,1,2,1,2,"(nu",4,1,3,2,4,1,3,2,4,3,3,3,4,2,3,4,4,4,3,3,2,5,2,4,1,4,1,4,4,4,4,2,4,1,4,1,5,1,5,5,5,1,4,1,5,1,4,3,5,5
3,26,2,1,1,1,"(nu",2,3,4,5,4,1,2,4,2,4,2,4,5,4,4,2,5,4,2,2,5,3,2,4,4,5,4,3,4,4,4,3,5,4,3,3,3,2,1,4,5,1,4,1,4,1,3,5,5,4
5,19,2,1,1,1,"(nu",3,2,3,3,4,4,4,4,3,3,2,2,4,2,2,3,4,3,2,2,2,3,2,2,3,4,2,3,4,3,4,2,4,2,3,2,4,3,4,2,4,2,4,2,3,2,4,4,4,3
13,50,1,1,1,1,"(nu",2,3,1,2,3,1,1,5,3,5,5,1,5,1,5,2,1,1,2,5,3,2,2,3,2,4,5,2,3,1,5,1,5,1,5,1,5,1,4,5,5,1,5,1,5,1,5,5,5,5
3,36,1,1,1,2,"(nu",1,3,2,4,1,5,1,5,1,5,4,2,4,1,2,4,4,4,4,4,3,3,3,2,3,3,3,3,2,2,2,4,2,4,1,4,4,3,3,2,5,4,5,3,2,2,4,4,1,2
3,42,1,2,1,1,"(nu",4,2,4,3,5,1,4,3,5,2,2,4,3,4,2,2,3,2,2,2,1,4,1,5,1,5,2,5,4,5,5,3,5,2,3,2,5,1,5,5,4,2,5,2,5,1,5,4,5,4
3,14,1,2,1,1,"(nu",4,1,4,2,4,1,3,2,5,3,5,3,4,2,4,3,4,4,5,4,4,5,4,3,3,2,2,3,3,3,3,3,3,4,2,2,4,2,5,4,4,2,4,3,4,2,4,4,5,4
12,32,1,1,1,1,"(nu",4,2,4,2,4,1,4,5,5,5,4,3,4,5,2,5,1,2,5,5,2,5,5,5,1,5,1,5,5,4,3,5,4,2,2,4,5,1,4,4,4,1,4,1,5,1,4,5,5,5
13,36,1,2,1,2,"(nu",4,2,3,2,4,2,3,3,2,4,3,3,5,4,2,3,4,4,3,4,1,4,1,4,2,4,2,3,5,4,2,3,5,2,1,4,4,3,2,4,3,2,3,2,4,1,5,1,3,4
12,20,1,2,1,1,"(nu",3,3,2,4,2,3,2,4,3,4,4,2,4,2,4,4,4,3,4,4,2,3,3,3,3,3,3,4,3,2,4,4,4,3,4,4,4,2,4,4,4,2,4,2,4,2,4,4,4,4
3,39,1,1,1,1,"(nu",3,1,4,2,4,1,2,3,4,2,1,5,2,5,2,2,2,1,2,1,3,5,2,4,2,2,2,4,2,4,4,1,5,2,1,1,4,2,4,4,5,2,3,3,5,3,5,4,2,5
3,57,1,2,1,5,"(nu",3,2,3,2,4,1,3,3,3,2,3,3,3,3,3,2,3,2,2,2,1,5,1,5,1,5,1,5,4,5,4,3,5,2,3,2,3,1,2,5,5,1,5,1,5,1,5,5,5,5
1,29,2,1,1,1,"(nu",1,5,1,5,2,4,1,5,1,5,5,1,5,5,5,5,5,5,5,5,3,2,1,3,3,4,5,4,5,2,3,5,2,5,3,4,5,3,4,2,3,3,4,4,3,4,2,1,5,2
1,14,2,2,1,1,"(nu",2,5,4,2,2,3,1,2,2,5,3,4,5,1,1,4,2,2,3,1,2,4,1,3,3,5,2,2,3,3,4,4,4,2,4,5,5,2,2,5,4,2,5,5,5,1,5,2,4,5
3,25,1,2,1,1,"(nu",1,5,1,4,3,4,1,5,1,5,3,1,5,1,2,5,4,5,4,5,1,3,1,5,2,5,4,5,5,4,3,3,4,3,3,1,4,1,3,4,4,2,3,3,3,3,5,3,5,3
3,17,1,2,1,5,"(nu",1,5,2,5,1,5,1,3,4,5,5,3,5,1,5,5,5,5,5,5,1,5,5,5,1,5,1,3,5,2,1,5,5,3,1,3,2,5,1,3,4,3,5,1,2,3,3,4,5,5
3,16,1,2,1,5,"(nu",2,2,3,2,5,2,2,2,5,2,5,1,5,2,2,3,4,4,4,4,1,5,3,5,1,5,1,5,5,3,5,4,4,4,1,3,4,5,4,4,4,5,5,5,4,1,3,2,5,5
3,21,2,2,1,1,"(nu",3,3,2,3,4,2,5,5,5,5,5,3,5,1,5,5,5,5,4,5,1,2,2,4,4,5,2,3,5,5,2,4,5,4,4,5,4,4,3,4,3,1,5,1,5,1,5,2,3,4
3,57,1,2,1,5,"(nu",4,2,4,1,5,1,4,2,4,2,2,5,4,3,2,2,3,3,2,3,2,4,1,4,1,1,1,4,5,4,3,3,5,2,4,2,3,1,2,5,5,1,5,1,5,1,5,5,5,5
3,39,1,2,1,2,"(nu",3,3,3,4,4,4,4,5,2,4,2,5,3,3,1,2,2,2,2,2,2,3,3,3,3,3,3,2,2,3,3,2,2,1,1,4,2,1,2,4,2,1,4,1,5,2,4,3,5,5
3,23,1,2,1,1,"(nu",1,2,2,4,4,2,1,4,3,5,5,2,5,1,1,5,4,4,4,4,1,3,1,5,1,5,3,4,5,4,2,4,5,4,1,4,3,4,1,4,4,1,5,1,5,1,5,5,5,5
3,58,1,2,1,1,"(nu",4,1,4,2,5,1,4,3,4,4,5,2,5,2,4,3,3,2,4,4,2,4,4,4,2,4,2,4,4,2,3,3,4,2,5,2,3,2,4,5,5,1,5,1,5,1,5,4,4,5
3,54,1,2,1,5,"(nu",4,1,5,2,5,1,4,4,4,2,3,3,4,3,4,2,2,3,2,2,2,4,1,3,2,3,2,4,4,5,4,4,3,1,3,2,3,1,3,3,5,3,3,3,4,2,5,4,3,4
3,19,1,1,1,1,"(nu",3,5,1,5,1,4,1,5,2,5,4,3,4,1,4,3,1,2,4,4,5,1,3,2,5,1,5,1,1,3,3,1,4,4,3,1,4,3,4,5,5,1,5,1,4,1,5,4,4,4
11,21,2,1,1,5,"(nu",1,4,3,4,3,4,3,2,2,3,2,4,3,3,2,3,3,3,4,3,2,4,2,4,2,4,2,3,5,4,4,4,3,2,4,4,4,1,4,2,3,2,4,2,4,2,4,2,4,4
3,56,1,1,1,5,"(nu",1,5,3,5,3,5,2,5,1,5,5,3,5,2,5,5,5,5,5,3,1,3,2,5,1,5,1,5,5,3,5,1,5,1,5,1,5,1,5,5,5,1,5,1,5,1,5,5,5,5
3,16,1,2,1,1,"(nu",3,4,3,5,3,2,3,4,3,4,3,4,5,5,3,3,2,2,4,5,1,5,3,5,2,3,2,4,5,4,4,3,5,3,2,3,3,2,4,5,4,1,5,2,4,2,4,4,5,5
11,14,2,2,1,1,"(nu",3,1,4,3,3,1,4,1,5,4,5,4,4,3,3,5,5,5,5,3,5,5,1,5,1,5,1,1,5,4,3,1,3,2,3,2,3,1,3,3,4,2,5,3,3,1,4,3,4,2
3,52,1,1,1,1,"(nu",1,3,5,5,3,3,1,3,3,5,5,5,5,3,3,4,5,5,5,3,1,3,3,5,3,3,3,5,5,5,3,3,3,1,3,4,5,3,5,5,1,3,5,3,5,1,5,1,5,4
3,25,1,2,1,2,"(nu",5,1,5,1,5,1,5,1,5,2,2,4,3,5,2,3,1,1,2,1,1,5,1,5,1,5,1,5,5,4,2,4,3,3,3,2,3,1,3,2,4,2,5,2,4,1,5,3,4,5
3,22,2,2,1,1,"(nu",1,4,3,3,5,2,5,2,4,4,1,5,3,4,1,1,1,1,1,1,2,5,1,3,1,2,1,4,5,5,5,1,5,1,4,1,5,1,1,5,5,1,5,1,5,1,5,4,4,5
3,32,1,2,1,5,"(nu",4,1,4,2,5,1,5,3,5,2,4,3,5,2,3,3,3,1,3,2,1,5,2,5,1,5,1,4,5,5,4,3,5,2,4,1,5,2,5,4,4,1,5,1,4,1,5,4,5,4
3,20,2,2,1,1,"(nu",1,4,2,4,2,5,2,5,1,5,5,1,5,1,5,4,4,4,5,5,4,4,2,5,2,5,3,4,5,5,2,2,5,5,3,2,1,4,1,3,4,1,4,2,5,1,5,3,4,5
3,48,1,2,1,1,"(nu",3,1,5,3,5,1,4,4,3,3,1,5,3,3,1,1,1,1,1,1,1,5,1,5,1,5,1,4,5,5,3,4,3,1,3,4,3,1,2,3,4,3,5,3,5,1,4,3,5,5
3,25,1,1,1,5,"(nu",3,2,4,2,4,2,4,4,3,2,2,5,4,5,1,1,1,1,2,1,2,2,2,5,1,4,2,3,4,4,4,2,4,2,3,3,3,2,4,3,4,1,4,1,4,1,5,4,5,5
13,20,1,2,1,5,"(nu",3,1,4,3,4,1,4,4,5,4,3,4,3,1,3,2,3,2,2,1,2,4,4,5,1,4,1,5,5,4,3,3,4,2,2,3,4,1,5,3,3,3,5,1,4,1,3,1,4,3
1,33,2,1,1,2,"(nu",3,3,5,3,3,3,3,5,5,2,1,5,1,1,1,1,1,1,1,1,1,5,1,5,1,5,1,5,5,5,3,1,4,1,3,1,3,2,3,4,4,1,5,1,5,1,5,4,5,5
11,19,2,2,1,5,"(nu",4,4,5,2,3,2,3,3,3,3,5,3,5,3,4,3,5,4,2,3,1,3,1,5,4,5,2,3,4,3,5,4,5,2,5,2,3,1,5,4,3,3,3,4,3,1,4,2,5,3
13,36,1,2,1,2,"(nu",3,2,4,3,5,1,4,4,3,2,3,3,3,3,2,2,3,3,1,3,1,4,1,5,1,5,1,5,5,5,3,2,5,1,3,2,4,2,3,3,5,3,3,3,4,3,4,5,4,3
3,36,1,2,3,1,"(nu",2,2,4,3,4,2,3,3,3,3,5,2,5,2,4,4,3,3,4,5,2,4,1,4,2,3,2,4,4,4,3,5,5,3,2,4,4,2,4,5,4,2,4,3,5,2,4,3,4,5
1,13,1,1,1,1,"(nu",1,4,3,5,3,4,2,4,1,5,4,3,4,3,1,5,3,1,3,3,5,4,5,2,5,1,1,4,1,5,3,5,2,4,1,4,3,4,1,1,5,1,5,3,3,1,4,5,1,5
3,35,1,2,1,5,"(nu",2,4,4,4,4,2,2,3,5,4,2,4,2,4,2,1,3,1,2,2,5,5,1,5,1,4,2,5,5,5,4,4,4,1,2,3,3,1,5,5,5,1,4,2,4,1,4,2,5,5
3,16,1,2,1,1,"(nu",1,5,2,5,1,5,1,5,1,5,5,2,3,3,4,5,5,5,5,3,3,3,2,4,3,5,3,4,3,1,2,2,4,5,1,5,4,3,4,1,3,3,4,3,3,3,2,2,4,3
12,24,2,1,1,1,"(nu",1,4,1,5,3,2,1,4,2,5,1,5,4,2,1,1,1,1,1,2,2,4,1,3,2,4,2,4,2,5,4,4,5,2,2,3,5,2,4,3,4,1,3,1,4,2,5,4,5,4
3,57,1,2,3,5,"(nu",3,3,3,3,4,1,4,3,4,2,4,2,4,2,2,4,4,2,3,2,1,5,1,5,1,5,1,5,5,5,3,4,5,3,4,1,5,1,3,5,3,4,4,2,4,2,4,1,4,4
13,51,1,1,1,2,"(nu",3,3,5,2,5,2,5,3,4,1,4,1,4,3,4,3,1,1,4,3,2,4,1,5,2,5,1,4,4,5,4,1,5,1,4,1,4,1,3,4,5,1,3,2,4,1,5,5,5,4
3,24,1,2,3,1,"(nu",5,3,4,2,5,2,4,2,5,3,3,5,2,4,2,4,4,3,4,2,5,3,4,1,5,1,3,1,1,5,5,2,5,3,3,3,4,3,2,4,5,1,5,1,5,1,5,5,3,5
13,35,2,1,1,5,"(nu",4,1,4,2,5,1,5,1,5,1,1,1,5,1,2,1,1,1,1,1,1,5,1,5,1,1,1,5,5,4,4,1,5,1,2,1,1,1,5,4,2,1,5,2,5,1,5,1,4,2
3,19,1,2,3,1,"(nu",1,2,4,4,3,2,4,4,3,4,5,2,4,5,1,5,5,5,5,4,2,5,4,4,3,4,2,4,5,3,4,4,4,5,2,5,1,4,5,3,3,1,4,1,4,1,4,4,5,4
13,27,1,1,1,1,"(nu",1,1,5,5,5,1,1,1,5,5,5,3,5,4,5,5,5,5,5,1,5,1,5,3,5,5,5,1,1,5,1,5,5,3,1,5,5,5,1,5,3,3,5,4,5,1,5,2,5,5
11,14,1,1,1,1,"(nu",1,3,1,5,3,5,1,5,2,5,4,4,3,3,3,5,3,2,5,4,3,3,1,3,4,4,4,4,3,2,3,5,2,4,1,5,5,3,4,2,2,3,3,1,1,2,2,1,5,2
3,24,1,2,1,2,"(nu",1,3,4,4,2,4,2,3,3,5,4,3,4,3,2,3,3,2,5,2,1,4,2,4,2,3,2,4,4,3,4,2,4,2,4,1,5,2,4,3,3,2,4,2,4,2,3,1,5,3
11,14,1,2,1,5,"(nu",2,3,3,3,4,3,2,3,4,4,4,2,4,2,4,4,3,3,4,4,1,4,3,4,2,4,2,4,4,3,4,4,5,2,3,4,3,3,4,4,4,2,5,2,4,2,4,4,5,4
13,38,1,2,1,1,"(nu",3,3,3,3,4,2,3,3,3,3,2,4,4,2,3,3,5,5,3,4,1,3,3,4,2,4,2,4,4,3,3,2,4,3,4,2,4,2,3,4,3,3,4,3,4,2,3,3,3,4
3,22,1,1,1,1,"(nu",3,3,3,4,3,1,1,4,5,5,4,3,5,1,4,4,4,4,3,4,1,5,1,5,1,5,1,5,5,4,3,2,4,3,1,2,3,2,1,3,4,1,5,2,4,1,3,4,5,5
5,17,1,2,3,1,"(nu",1,3,2,5,4,4,1,5,1,5,5,2,5,1,1,5,4,2,4,5,1,3,1,5,1,4,2,5,4,3,4,1,5,4,1,4,3,3,3,3,1,2,5,3,2,2,3,1,4,4
5,26,2,1,1,2,"(nu",4,2,4,3,2,2,4,2,2,3,4,3,5,3,3,3,4,4,2,2,5,3,1,5,3,4,3,4,4,5,3,5,4,3,4,4,2,1,4,4,2,1,5,4,4,2,5,3,4,5
13,17,1,2,1,1,"(nu",1,5,1,5,1,4,1,4,1,5,5,2,4,4,4,4,3,3,4,4,3,2,1,5,4,5,4,5,5,3,3,4,4,1,4,1,5,2,2,4,4,2,4,1,5,1,5,4,5,5
13,24,2,2,1,2,"(nu",3,5,4,4,2,4,2,3,1,5,2,4,4,4,2,3,3,1,2,2,2,3,1,4,2,4,3,4,4,5,4,2,4,2,4,2,3,1,4,2,2,2,3,2,3,2,4,2,3,2
3,49,1,2,3,1,"(nu",3,1,4,5,5,1,3,3,2,2,4,1,5,1,3,3,1,1,2,5,1,5,5,5,1,5,1,3,5,5,1,3,5,5,1,2,5,4,2,1,4,1,5,1,5,1,3,1,5,5
13,30,1,2,1,1,"(nu",2,4,4,3,2,3,3,4,1,5,2,4,4,2,4,2,3,2,2,3,2,4,2,4,3,4,2,4,4,5,2,4,4,4,2,4,3,4,2,2,2,4,4,3,4,2,3,2,4,3
3,15,1,2,3,1,"(nu",1,2,2,3,3,2,2,4,3,4,3,5,3,1,3,2,3,3,2,5,2,5,2,4,2,3,2,4,4,3,3,4,4,2,2,2,3,3,3,4,4,2,5,2,3,2,4,4,4,4
13,23,1,2,1,5,"(nu",4,3,4,3,3,3,2,4,2,3,3,3,4,2,2,3,3,2,3,2,5,4,2,4,2,4,2,4,4,4,4,2,4,1,4,2,4,2,4,4,3,3,4,2,3,2,4,2,3,3
11,23,1,1,1,2,"(nu",2,2,3,4,4,3,2,4,3,5,2,3,4,3,4,4,4,4,4,3,4,2,2,2,4,3,4,4,2,4,3,2,4,2,3,2,4,4,5,4,3,5,4,5,5,2,4,2,4,4
3,29,1,2,1,5,"(nu",4,1,3,2,2,1,2,4,3,5,5,1,5,2,4,4,2,3,3,4,1,5,3,5,1,5,1,4,5,3,3,4,5,3,2,2,5,1,2,5,4,1,4,1,3,2,4,3,5,3
11,22,1,2,1,1,"(nu",1,1,5,3,5,1,3,3,4,3,2,4,4,2,1,3,1,1,2,1,1,5,1,5,1,5,2,3,5,4,4,1,5,1,4,1,3,3,5,3,4,1,1,1,4,3,5,1,5,4
3,18,1,2,2,1,"(nu",1,4,2,4,2,4,1,2,2,5,2,4,4,3,2,3,2,2,3,2,1,5,2,5,1,4,1,4,5,3,4,3,4,2,2,2,4,1,2,4,4,1,5,2,4,1,4,4,5,5
1,29,2,2,1,2,"(nu",5,5,3,5,3,1,1,3,5,5,3,4,5,1,4,3,3,2,3,5,1,5,1,5,2,5,1,1,5,3,2,3,3,5,2,5,5,3,1,3,5,1,5,1,5,1,5,5,5,5
3,21,1,2,1,2,"(nu",1,2,4,2,4,2,2,3,4,2,4,2,5,1,3,4,3,4,4,4,2,4,4,3,2,4,3,3,3,4,4,2,5,2,2,2,5,2,5,4,3,3,1,3,4,5,4,2,4,4
3,28,2,2,1,1,"(nu",4,2,4,2,5,2,3,4,4,4,5,2,4,5,4,2,4,4,3,1,1,5,1,5,2,5,2,4,5,5,4,4,5,3,5,2,4,3,2,4,5,3,5,2,5,5,5,4,5,5
3,56,1,2,1,5,"(nu",1,3,1,5,4,2,4,5,1,2,5,1,5,1,3,4,5,4,3,5,2,2,3,4,2,4,4,4,2,1,3,1,2,4,1,1,4,2,1,3,1,3,3,4,4,3,1,1,5,4
11,17,2,2,1,1,"(nu",4,1,5,2,5,2,4,3,3,2,2,2,4,3,3,4,4,4,4,2,4,5,2,4,2,5,2,3,4,3,3,2,4,2,2,3,3,2,2,2,3,1,2,2,3,2,4,1,3,3
1,17,1,1,1,1,"(nu",5,3,5,5,5,3,5,3,5,5,3,4,5,4,5,4,2,3,4,2,2,5,5,2,3,2,1,2,1,5,4,3,5,5,1,1,1,2,1,2,4,1,5,1,5,1,3,4,5,5
4,36,2,1,1,1,"(nu",4,3,4,3,4,2,4,3,4,4,1,4,1,3,1,1,3,2,1,2,4,4,1,4,2,2,2,4,4,4,4,3,5,1,4,2,4,3,4,4,4,1,4,2,4,2,5,3,3,4
3,18,1,2,1,1,"(nu",3,3,4,4,1,1,3,4,5,5,1,5,1,3,1,1,2,1,1,2,1,5,1,5,1,5,1,5,5,5,2,4,4,5,2,3,2,2,1,3,4,2,5,2,3,1,5,3,4,3
3,19,1,1,1,1,"(nu",1,4,2,4,2,2,1,4,5,5,2,4,4,3,1,1,1,1,4,3,5,4,4,2,4,1,4,4,1,3,4,2,5,2,2,1,5,2,4,4,5,1,5,1,5,1,5,5,5,5
13,21,2,2,1,1,"(nu",3,4,3,3,3,3,3,3,2,3,3,3,4,3,4,3,2,2,3,2,3,4,1,4,3,3,2,3,3,3,3,4,3,2,4,2,4,3,3,3,2,3,3,2,3,2,3,2,3,3
11,20,1,2,1,1,"(nu",1,5,3,5,3,5,1,5,3,5,3,5,5,2,2,3,4,5,4,5,2,5,3,5,2,5,3,5,5,3,1,5,3,5,1,5,3,5,1,3,2,1,5,1,3,1,5,3,5,4
4,23,2,2,1,1,"(nu",1,4,1,2,5,4,5,1,5,5,5,5,5,1,5,5,5,5,5,4,5,5,1,5,1,5,1,2,5,4,4,2,5,1,3,2,5,2,4,4,2,5,1,2,3,5,2,3,5,2
13,23,2,1,1,2,"(nu",3,4,3,4,2,3,2,4,4,4,2,5,4,4,2,3,4,3,1,1,2,5,1,3,4,3,2,4,5,4,4,3,5,1,4,1,5,1,5,4,4,1,5,1,5,1,5,2,3,5
3,21,1,1,1,1,"(nu",5,2,4,2,5,2,5,3,4,3,2,5,2,4,3,2,4,4,2,2,1,4,1,4,3,5,1,3,5,3,2,5,3,3,1,4,3,2,2,3,5,1,5,1,4,1,4,4,2,5
11,43,2,2,1,2,"(nu",2,2,3,3,4,2,2,3,3,3,2,3,2,3,2,2,3,2,3,2,2,4,2,4,2,3,2,4,3,4,3,3,4,2,3,3,4,2,2,4,4,2,4,2,4,2,3,3,4,4
11,23,1,1,1,2,"(nu",1,3,4,4,4,5,3,4,4,5,4,3,4,3,3,3,3,1,4,1,1,4,1,5,2,4,2,5,5,4,4,2,5,1,1,3,5,1,4,4,5,3,5,3,2,1,4,2,5,3
11,20,2,2,1,1,"(nu",3,1,2,2,5,5,2,2,5,5,5,2,5,1,5,5,3,2,5,4,2,3,4,5,2,5,3,5,5,4,4,5,2,5,1,5,2,4,2,5,4,2,5,2,3,2,4,4,5,5
11,26,2,2,1,1,"(nu",4,1,4,4,4,2,4,2,4,4,4,4,4,3,4,4,3,3,4,4,2,5,4,4,2,4,2,4,4,3,4,5,4,3,3,4,3,3,3,4,4,3,4,3,4,2,4,4,4,4
3,29,1,2,1,5,"(nu",2,3,4,3,4,2,2,3,4,4,4,3,3,2,4,2,2,4,3,2,2,4,3,3,3,3,3,4,4,3,4,4,4,1,2,4,4,1,3,4,5,3,2,2,4,3,4,4,4,3
4,27,2,2,1,2,"(nu",3,3,3,4,1,3,3,2,1,5,4,1,5,3,5,5,5,5,5,4,3,2,4,4,4,5,4,5,5,5,2,1,3,1,5,1,3,1,5,3,2,2,3,4,3,3,3,2,5,3
3,41,2,1,1,2,"(nu",4,1,5,1,5,1,5,2,5,1,2,4,2,4,2,5,1,1,2,2,3,4,3,2,2,1,1,4,4,4,5,1,5,1,5,1,5,1,5,5,4,3,2,2,3,2,4,3,4,3
11,21,2,2,1,5,"(nu",4,5,3,5,1,5,1,3,5,5,5,4,5,4,4,4,1,5,3,2,1,5,1,5,4,5,2,3,5,5,4,1,5,1,3,4,1,5,3,5,4,4,5,1,4,2,3,3,4,5
3,16,1,2,1,2,"(nu",2,3,3,3,3,3,2,4,2,5,4,3,3,2,4,3,3,3,3,3,3,4,1,3,3,5,2,4,3,3,3,2,3,2,4,4,3,4,4,3,4,1,5,2,4,1,3,3,5,4
1,19,1,1,1,5,"(nu",3,4,3,3,5,5,5,2,4,1,4,4,3,3,5,5,5,5,5,2,4,4,2,4,2,5,1,5,4,5,5,2,3,2,3,1,5,3,4,5,2,3,2,5,3,5,4,1,2,2
11,18,1,2,1,1,"(nu",1,2,3,4,4,2,1,3,1,5,3,2,5,4,4,3,5,5,5,4,3,3,3,3,3,3,3,3,3,4,3,3,4,4,3,3,3,3,2,4,4,4,5,3,4,1,4,4,3,4
11,34,2,1,1,2,"(nu",3,1,5,1,5,1,5,1,5,5,4,5,4,5,5,1,1,1,4,1,2,5,1,5,1,5,1,2,5,5,5,2,5,1,5,5,5,1,5,5,5,1,5,1,5,1,5,1,4,5
13,50,2,2,1,1,"(nu",1,5,5,1,5,1,5,1,5,1,5,1,5,1,5,5,5,5,5,1,1,1,1,5,1,5,1,5,5,5,5,1,5,1,5,1,5,1,5,5,1,1,5,1,5,1,5,1,5,5
5,18,2,1,1,1,"(nu",1,4,4,3,4,5,5,1,5,4,3,2,5,4,3,5,3,2,5,4,4,4,1,3,3,4,2,3,5,3,2,3,4,5,1,4,2,3,5,2,3,5,3,4,4,2,4,2,4,5
3,30,1,2,1,1,"(nu",2,3,1,4,1,5,1,5,1,5,4,2,5,2,5,4,4,3,5,3,1,3,1,5,2,5,3,4,5,4,3,2,3,1,1,2,5,3,5,3,1,4,2,4,3,3,4,1,4,3
3,21,2,1,1,1,"(nu",1,1,3,2,2,1,2,4,2,4,5,3,5,1,5,5,5,5,5,5,2,5,2,3,2,5,2,3,4,2,2,2,4,3,2,2,5,3,2,3,5,1,5,1,4,1,4,4,5,5
4,19,2,2,1,1,"(nu",2,4,3,3,2,1,1,5,5,5,3,2,4,4,5,5,5,5,4,5,4,3,2,4,4,4,5,5,5,4,3,2,4,3,5,2,4,3,4,3,3,2,3,3,3,3,4,3,5,3
11,14,1,2,2,1,"(nu",3,3,3,3,4,3,3,3,4,5,4,3,5,2,2,3,3,2,4,3,4,4,3,3,4,3,3,3,3,5,3,3,5,2,2,3,3,2,3,3,4,2,5,2,4,2,4,3,4,3
4,32,2,1,1,5,"(nu",3,3,3,3,3,3,3,3,3,2,2,4,3,3,2,2,2,1,2,2,4,4,2,2,3,3,3,4,4,3,3,2,4,4,4,2,4,2,2,4,3,2,4,2,3,2,3,3,3,3
3,32,1,1,1,2,"(nu",2,3,2,3,3,2,1,2,4,5,4,2,4,3,4,3,2,4,4,3,2,4,1,3,2,4,4,4,4,5,3,5,2,4,2,4,4,1,4,2,3,1,4,1,4,2,3,2,5,3
11,24,2,2,2,5,"(nu",2,2,4,3,3,2,3,2,3,5,5,2,5,4,4,4,4,4,4,3,2,4,3,3,3,3,3,3,4,4,4,2,4,2,3,5,4,3,4,4,2,2,2,2,3,3,3,3,4,2
4,21,2,2,1,5,"(nu",3,1,5,1,5,2,4,2,5,2,1,4,2,3,1,2,3,1,2,3,2,5,1,2,5,2,1,4,2,4,5,2,5,2,4,2,4,3,3,4,3,2,3,4,3,2,4,2,3,3
3,27,1,2,1,2,"(nu",4,1,4,1,5,1,5,2,5,2,3,4,4,1,1,2,4,3,4,4,2,5,2,5,1,3,1,4,4,4,3,2,4,3,3,1,5,3,2,4,4,2,5,1,5,1,3,2,5,5
13,22,1,1,1,2,"(nu",4,3,3,2,3,3,2,4,4,4,2,3,2,2,2,2,4,1,2,1,3,4,2,4,4,4,2,3,4,4,3,2,2,2,3,1,1,3,2,3,3,2,3,2,4,1,5,3,2,4
